Location_clean,Deprem_Sayisi,Ort_Buyukluk,Max_Buyukluk,Ort_Derinlik
SOGUT-SIMAV (KÜTAHYA) [SOUTH EAST  2.7 KM],1,4.5,4.5,5.0
KIZILPINAR- (ÇORUM) [SOUTH EAST  2.6 KM],1,4.8,4.8,9.0
KAPIKAYA-SIMAV (KÜTAHYA) [SOUTH WEST  1.3 KM],1,4.2,4.2,5.0
KIZIK-CAVDARHISAR (KÜTAHYA) [SOUTH WEST  1.0 KM],1,4.2,4.2,10.0
CELTIKCI-GEDIZ (KÜTAHYA) [SOUTH EAST  0.4 KM],1,4.3,4.3,17.0
CUKURCA-KURSUNLU (ÇANKIRI) [SOUTH WEST  1.6 KM],1,4.9,4.9,10.0
CUBUKICI- (KÜTAHYA) [NORTH WEST  4.3 KM],1,4.3,4.3,10.0
COMERT-ILGAZ (ÇANKIRI) [NORTH WEST  2.2 KM],1,6.7,6.7,10.0
COMAKLAR-GEDIZ (KÜTAHYA) [SOUTH 1.9 KM],1,4.5,4.5,10.0
COMAKLAR-GEDIZ (KÜTAHYA) [NORTH WEST  1.7 KM],1,4.3,4.3,37.0
COBANLAR-TAVSANLI (KÜTAHYA) [NORTH WEST  2.1 KM],1,4.9,4.9,40.0
CIRCIR- (ÇANKIRI) [SOUTH EAST  3.5 KM],1,4.6,4.6,33.0
CINARKOPRU-BIGA (ÇANAKKALE) [NORTH EAST  4.6 KM],1,4.0,4.0,5.0
CINARCIK ACIKLARI-YALOVA (MARMARA DENIZI),1,4.1,4.1,4.7
CERTE-EMET (KÜTAHYA) [WEST 2.9 KM],1,4.6,4.6,17.0
CAVDARHISAR (KÜTAHYA) [SOUTH WEST  2.4 KM],1,4.4,4.4,10.0
CUKUROREN-GEDIZ (KÜTAHYA) [NORTH WEST  2.0 KM],1,4.3,4.3,45.0
CATAK-OSMANCIK (ÇORUM) [SOUTH EAST  1.8 KM],1,4.1,4.1,19.0
CARSAMBA-DOMANIC (KÜTAHYA) [WEST 1.9 KM],1,5.2,5.2,50.0
CAMLIKOZ- (BAYBURT) [SOUTH 0.9 KM],1,4.2,4.2,10.1
CAMLIK-SIMAV (KÜTAHYA) [SOUTH WEST  6.7 KM],1,4.2,4.2,10.0
CAMLIK-SIMAV (KÜTAHYA) [NORTH WEST  1.6 KM],1,4.2,4.2,8.0
CAMIRDIK-ASLANAPA (KÜTAHYA) [NORTH EAST  1.6 KM],1,4.2,4.2,58.0
CAMDIBI-ASLANAPA (KÜTAHYA) [SOUTH EAST  1.4 KM],1,4.6,4.6,22.0
CAMDIBI-ASLANAPA (KÜTAHYA) [NORTH EAST  2.7 KM],1,4.3,4.3,9.0
CALCAAGIL-EMET (KÜTAHYA) [SOUTH EAST  1.3 KM],1,4.3,4.3,10.0
CAKRAZBUZ-AMASRA (BARTIN) [NORTH WEST  1.7 KM],1,4.2,4.2,33.0
CUKUROREN-GEDIZ (KÜTAHYA) [NORTH EAST  3.5 KM],1,4.2,4.2,40.0
CUKUROREN-GEDIZ (KÜTAHYA) [NORTH WEST  3.3 KM],1,5.1,5.1,44.0
CAKIRSAZ-ALTINTAS (KÜTAHYA) [SOUTH EAST  0.7 KM],1,4.0,4.0,37.0
DOMANIC (KÜTAHYA) [WEST 1.1 KM],1,4.8,4.8,10.0
EMET (KÜTAHYA) [SOUTH EAST  2.9 KM],1,4.9,4.9,35.0
EMET (KÜTAHYA) [SOUTH EAST  1.1 KM],1,4.7,4.7,23.0
EMET (KÜTAHYA) [SOUTH EAST  0.5 KM],1,5.3,5.3,16.0
EMET (KÜTAHYA) [NORTH WEST  2.3 KM],1,5.5,5.5,26.0
EGIRLER-SIMAV (KÜTAHYA) [SOUTH EAST  2.3 KM],1,4.1,4.1,11.0
EFENDIKOPRUSU-CAVDARHISAR (KÜTAHYA) [SOUTH WEST  2.3 KM],1,4.2,4.2,22.0
EFENDIKOPRUSU-CAVDARHISAR (KÜTAHYA) [SOUTH WEST  1.6 KM],1,4.9,4.9,42.0
DUSECEK-EMET (KÜTAHYA) [SOUTH WEST  2.7 KM],1,4.0,4.0,5.3
DUMLUPINAR (KÜTAHYA) [WEST 3.2 KM],1,4.6,4.6,18.0
DUMLUPINAR (KÜTAHYA) [NORTH EAST  1.7 KM],1,4.4,4.4,36.0
DOGASI- (BARTIN) [SOUTH EAST  1.7 KM],1,4.4,4.4,18.0
CUKUROREN-GEDIZ (KÜTAHYA) [NORTH WEST  4.1 KM],1,4.4,4.4,41.0
DOGANCILAR-CAVDARHISAR (KÜTAHYA) [SOUTH WEST  3.1 KM],1,4.4,4.4,43.0
DISBUDAK-LAPSEKI (ÇANAKKALE) [SOUTH WEST  0.2 KM],1,4.3,4.3,12.0
DALYAN-EZINE (ÇANAKKALE) [SOUTH WEST  7.6 KM],1,4.0,4.0,26.0
DAGTARLA-KURSUNLU (ÇANKIRI) [EAST 2.5 KM],1,4.8,4.8,10.0
DAGOBA-BAYRAMIC (ÇANAKKALE) [SOUTH 4.3 KM],1,4.3,4.3,29.0
